Carimbo de data/hora,Marque o seu Estado,Qual era a sua idade no ano de 2013?,Qual é o seu gênero?,Você era estudante em 2013?,"No ano de 2013, com que frequência você acessou internet em casa?","No ano de 2013, com que frequência você acessou internet fora de casa?",Você se considera interessado em assuntos políticos?,Você gosta de falar sobre política em público?,Você gosta de falar sobre política nas redes sociais?,Eu acredito que as redes sociais são a melhor maneira de me manter informado sobre acontecimentos do mundo.,Eu acredito que por meio das redes sociais eu consigo expressar melhor meus pensamentos e opiniões do que pessoalmente. ,Eu acredito que as redes sociais são um canal de informação confiável.,Eu acredito que os usuários de redes sociais tendem a falar sobre política com propriedade e conhecimento avançado do assunto. ,"Em junho de 2013, me senti motivado a participar dos protestos que aconteceram em todo o país após a divulgação dos mesmos pela mídia tradicional. ","Em junho de 2013, me senti motivado a participar dos protestos que aconteceram em todo o país após o compartilhamento de textos, fotos e vídeos nas redes sociais, pelos meus amigos.","Em junho de 2013, me senti motivado a participar dos protestos que aconteceram em todo o país, porque acredito que devo defender meus direitos civis e políticos.","Depois dos protestos de 2013, continuei a participar de ações e protestos que apoiavam causas em que acredito.","Em 2013, com que frequência você acessou websites políticos, leu blogs sobre política ou postagens nas redes sociais sobre política?","Em 2013, com que frequência você viu imagens ou assistiu a videos relacionados a assuntos políticos?","Em 2013, com que frequência você leu artigos da mídia impressa sobre política?","Em 2013, com que frequência você acompanhou as notícias políticas no rádio ou na televisão?","Em 2013, com que frequência você demonstrou a sua opinião sobre assuntos políticos nas redes sociais pressionando o botão de curtir?","Em 2013, com que frequência você postou/compartilhou conteúdo político nas redes sociais?","Em 2013, com que frequência você distribuiu material político impresso (ex: panfletos, adesivos, etc.) para seus amigos, familiares ou colegas de trabalho/faculdade/escola?","Em 2013, com que frequência você comentou em postagens de conteúdo político nas redes sociais?","Em 2013, com que frequência você discutiu assuntos políticos pessoalmente ou pelo telefone com amigos, familiares ou colegas de trabalho/faculdade/escola?","Em 2013, com que frequência você trocou ideias com desconhecidos sobre política ou participou de grupos de discussão sobre o mesmo fora da Internet?","Em 2013, com que frequência você vestiu uma camisa de protesto, colocou um adesivo de protesto no carro ou um sinal de protesto (bandeira, faixa, etc.) na sua janela, ou em frente a sua casa?","Em 2013, com que frequência você tentou convencer pessoas a protestar, ou explicou razões pelas quais elas deveriam protestar?","Em 2013, com que frequência você participou de protestos ou marchas políticas?","Em 2013, qual era a probabilidade de você assinar uma petição online sobre assuntos políticos?","HOJE EM DIA, qual é a probabilidade de você assinar uma petição online sobre assuntos políticos?","Em 2013, qual era a probabilidade de você contactar um representante da sua comunidade no governo por e-mail ou redes sociais?","HOJE EM DIA, qual é a probabilidade de você contactar um representante da sua comunidade no governo por e-mail ou redes sociais?","Em 2013, qual era a probabilidade de você assinar uma petição pessoalmente?","HOJE EM DIA, qual é a probabilidade de você assinar uma petição pessoalmente?","Em 2013, qual era a probabilidade de você fazer uma reclamação diretamente à um órgão do governo, seja pessoalmente ou por telefone?","HOJE EM DIA, qual é a probabilidade de você fazer uma reclamação diretamente à um órgão do governo, seja pessoalmente ou por telefone?","Em 2013, qual era a probabilidade de você participar de protestos públicos?","HOJE EM DIA, qual é a probabilidade de você participar de protestos públicos?"
2/29/2016 11:39:37,Ceará,até 20 anos,Masculino,Sim,5,3,3,3,2,3,4,1,2,1,5,5,4,4,4,2,3,5,4,1,3,3,2,1,4,4,3,4,2,2,2,2,1,2,3,5
2/29/2016 11:43:30,São Paulo,21 a 30 anos,Masculino,Sim,5,3,5,3,3,2,3,2,1,1,1,1,1,5,5,3,3,1,3,1,3,3,1,1,1,1,1,1,1,1,1,1,3,3,1,1
2/29/2016 11:52:41,Pernambuco,41 a 50 anos,Masculino,Sim,5,5,5,5,5,3,1,1,1,1,1,1,5,5,5,5,3,3,3,1,3,3,2,1,1,1,1,1,3,4,3,3,4,4,3,3
2/29/2016 12:09:27,Ceará,31 a 40 anos,Feminino,Não,5,5,5,5,1,3,1,3,3,1,1,1,1,5,5,5,5,5,2,1,2,5,5,1,1,1,4,4,1,1,4,4,5,5,1,1
2/29/2016 12:36:15,Ceará,31 a 40 anos,Masculino,Sim,5,5,3,1,1,3,1,2,3,1,2,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2/29/2016 12:39:05,Ceará,31 a 40 anos,Masculino,Sim,5,5,3,3,3,5,3,3,1,1,1,1,1,1,3,3,3,3,1,1,3,2,2,1,2,1,4,4,1,1,1,1,1,1,1,1
2/29/2016 13:42:01,Minas Gerais,21 a 30 anos,Masculino,Sim,5,5,5,5,4,3,2,3,2,3,4,4,5,5,5,2,4,5,5,3,4,5,2,1,4,5,5,4,3,2,5,4,3,2,5,4
2/29/2016 14:26:31,Minas Gerais,21 a 30 anos,Masculino,Sim,5,3,5,5,5,5,3,3,2,3,5,5,5,5,5,1,3,3,4,2,4,2,5,2,5,5,3,3,1,2,1,1,1,3,5,4
2/29/2016 14:36:35,Ceará,41 a 50 anos,Feminino,Não,5,5,5,3,3,5,3,3,3,3,3,3,3,3,3,3,4,1,1,1,1,3,1,3,3,1,5,5,1,1,4,4,4,4,1,1
2/29/2016 14:37:29,Ceará,31 a 40 anos,Feminino,Não,5,5,5,4,2,5,2,3,3,5,5,5,5,3,4,5,5,5,3,1,5,4,4,3,4,4,5,5,1,1,5,5,4,5,4,5
2/29/2016 14:42:45,Ceará,41 a 50 anos,Feminino,Sim,3,2,2,1,1,3,1,1,2,5,5,5,2,2,1,2,3,2,1,1,2,2,1,3,3,3,5,5,3,2,2,3,3,3,2,3
2/29/2016 14:46:47,Ceará,21 a 30 anos,Feminino,Sim,5,2,2,1,1,3,3,2,4,2,4,4,3,2,3,3,3,3,2,1,1,3,3,2,1,2,3,4,3,3,2,2,2,2,3,3
2/29/2016 15:07:53,Piauí,31 a 40 anos,Feminino,Não,5,5,2,2,2,3,1,2,1,1,1,3,1,2,2,2,2,2,2,1,3,2,2,1,1,1,3,3,2,2,1,1,3,3,1,1
2/29/2016 15:18:20,Piauí,21 a 30 anos,Masculino,Não,5,3,4,2,1,2,1,1,1,2,2,2,2,3,3,3,3,3,2,1,1,3,2,2,2,3,2,3,1,4,3,4,3,4,2,2
2/29/2016 15:18:34,Pernambuco,41 a 50 anos,Feminino,Não,5,5,2,1,1,5,3,3,3,4,4,3,2,4,2,3,4,5,4,1,4,4,4,4,3,3,5,5,3,4,2,2,4,4,4,5
2/29/2016 15:23:03,Ceará,21 a 30 anos,Feminino,Sim,5,3,3,2,1,3,1,1,2,2,1,5,3,3,3,3,3,2,1,1,2,1,2,1,1,2,3,3,1,1,3,3,3,3,2,2
2/29/2016 15:37:42,Ceará,a partir de 51 anos,Feminino,Não,5,3,5,5,5,5,5,5,3,3,3,4,3,5,5,5,5,3,3,1,3,3,3,1,3,1,3,3,3,3,3,3,3,3,3,3
2/29/2016 15:58:37,Ceará,41 a 50 anos,Feminino,Não,5,1,4,2,1,5,2,1,5,5,3,5,4,4,3,5,5,3,1,1,1,5,4,1,5,1,4,3,1,3,1,3,1,3,1,1
2/29/2016 16:02:14,Ceará,a partir de 51 anos,Feminino,Não,5,2,3,1,1,2,2,2,1,2,3,3,3,3,2,3,4,4,2,1,2,3,2,1,3,2,1,1,1,1,1,3,3,4,1,1
2/29/2016 17:05:14,São Paulo,21 a 30 anos,Masculino,Sim,5,5,2,2,2,5,3,2,2,3,3,4,2,3,3,3,4,2,3,1,1,2,2,1,1,1,5,5,3,4,4,4,4,4,3,4
2/29/2016 17:24:21,São Paulo,21 a 30 anos,Feminino,Não,5,5,5,5,5,4,4,1,1,3,3,3,4,5,5,5,3,5,5,1,4,5,4,1,1,2,4,4,5,5,4,2,5,5,3,3
2/29/2016 17:28:41,São Paulo,21 a 30 anos,Masculino,Não,5,5,3,3,2,2,2,1,1,2,3,3,2,2,3,3,2,3,3,1,1,3,1,1,1,1,2,2,3,3,3,3,3,3,3,3
2/29/2016 17:43:49,São Paulo,21 a 30 anos,Feminino,Sim,5,4,4,3,3,4,2,2,2,2,2,4,4,4,4,4,5,3,2,1,2,3,3,1,3,1,5,5,4,4,1,1,4,4,1,1
2/29/2016 17:49:26,São Paulo,21 a 30 anos,Feminino,Não,5,5,5,4,5,2,2,1,1,1,3,5,5,4,4,2,2,5,5,1,4,4,4,1,4,4,4,4,4,4,3,4,5,5,5,5
2/29/2016 17:49:46,Ceará,41 a 50 anos,Feminino,Não,5,3,3,2,1,3,3,2,2,3,3,4,3,3,3,3,3,1,1,1,1,3,1,2,2,2,5,5,3,3,1,3,5,5,3,3
2/29/2016 19:23:43,Minas Gerais,até 20 anos,Feminino,Sim,4,3,5,4,4,3,4,2,2,3,3,5,4,4,4,5,4,4,4,2,3,3,5,2,3,4,3,3,2,2,3,3,4,4,4,4
2/29/2016 19:36:33,Rio Grande do Sul,até 20 anos,Feminino,Sim,5,1,2,1,2,5,5,3,2,1,2,3,2,4,5,3,2,5,3,1,2,4,2,1,1,1,4,5,1,1,2,2,2,2,2,2
2/29/2016 19:36:51,Distrito Federal,41 a 50 anos,Feminino,Não,5,2,3,1,5,3,3,2,2,3,3,4,4,4,3,4,4,4,4,5,5,3,2,3,4,3,4,5,3,5,2,5,2,5,2,4
2/29/2016 19:44:00,Goiás,41 a 50 anos,Feminino,Sim,5,5,3,1,1,2,3,2,2,4,2,4,4,3,3,5,5,2,2,1,3,4,1,2,1,3,4,5,5,5,5,5,3,5,4,3
2/29/2016 20:04:09,Distrito Federal,31 a 40 anos,Feminino,Sim,5,3,5,5,3,3,2,2,1,1,1,1,1,3,3,3,2,2,3,1,2,3,1,1,1,1,3,3,3,1,3,3,1,2,1,3
2/29/2016 20:08:21,São Paulo,31 a 40 anos,Feminino,Sim,5,5,5,4,2,2,2,2,2,5,5,5,1,5,5,4,5,3,3,3,3,4,2,2,3,2,4,5,3,3,4,4,2,2,3,3
2/29/2016 20:10:13,Ceará,a partir de 51 anos,Feminino,Não,4,1,5,5,5,5,5,1,1,5,5,5,5,3,5,5,4,5,3,1,2,1,1,1,3,2,3,5,2,2,3,5,5,5,2,3
2/29/2016 20:20:40,Santa Catarina,31 a 40 anos,Feminino,Não,5,5,3,1,1,3,3,1,3,3,3,3,3,2,2,3,4,3,3,1,1,1,1,3,1,1,1,3,3,3,2,2,2,2,3,3
2/29/2016 20:21:55,Distrito Federal,21 a 30 anos,Masculino,Não,5,5,4,2,1,4,3,3,2,4,5,4,3,4,4,4,2,4,3,1,1,3,3,1,4,1,5,5,1,1,1,1,1,3,1,2
2/29/2016 20:26:30,Ceará,31 a 40 anos,Masculino,Sim,5,5,4,4,4,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2/29/2016 20:46:51,Distrito Federal,31 a 40 anos,Feminino,Não,5,1,3,3,1,3,3,3,2,3,3,1,3,2,2,2,3,5,5,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4
2/29/2016 20:54:03,Ceará,21 a 30 anos,Feminino,Sim,5,4,3,2,1,4,3,2,1,1,1,1,1,2,4,3,4,3,1,1,2,1,1,1,1,1,5,5,4,4,5,5,4,4,3,4
2/29/2016 21:09:02,Minas Gerais,41 a 50 anos,Masculino,Sim,5,4,5,3,3,1,1,1,1,1,1,5,3,3,3,3,3,2,3,2,3,5,3,3,2,3,2,2,3,5,5,5,3,5,5,3
2/29/2016 21:17:28,Ceará,41 a 50 anos,Feminino,Não,5,3,5,4,5,5,3,3,3,4,4,5,4,3,3,4,3,3,3,3,3,3,2,5,4,4,3,5,1,5,2,5,2,5,2,5
2/29/2016 21:44:17,Goiás,21 a 30 anos,Feminino,Não,5,3,5,5,5,2,1,2,2,1,5,5,3,4,4,2,2,5,5,1,3,5,2,1,4,3,5,5,5,5,5,5,5,5,5,4
2/29/2016 22:10:07,Ceará,31 a 40 anos,Feminino,Não,5,5,4,3,3,3,3,2,2,1,1,2,1,3,3,3,1,4,5,2,4,3,1,1,1,1,3,3,2,2,3,3,2,2,2,2
2/29/2016 22:30:11,Ceará,31 a 40 anos,Masculino,Não,5,5,5,5,3,5,3,2,3,2,2,2,2,5,5,3,5,5,3,1,3,2,2,1,1,1,2,4,3,3,3,3,3,3,1,3
2/29/2016 22:32:16,Distrito Federal,31 a 40 anos,Masculino,Não,5,4,4,4,1,1,1,2,1,3,3,4,2,2,3,5,5,1,1,1,2,3,1,1,3,1,4,5,1,1,1,1,1,3,1,4
2/29/2016 23:02:07,Minas Gerais,21 a 30 anos,Masculino,Sim,5,5,5,5,5,4,3,2,2,1,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
2/29/2016 23:18:11,São Paulo,21 a 30 anos,Masculino,Sim,5,5,4,2,1,5,2,3,1,4,4,2,1,4,4,4,4,4,4,3,3,4,2,1,1,2,4,2,3,1,4,1,1,1,4,1
3/1/2016 0:13:45,São Paulo,31 a 40 anos,Masculino,Não,5,4,5,5,5,1,1,1,1,3,3,3,3,5,5,5,3,5,5,1,4,5,4,1,1,1,3,3,5,3,3,5,3,3,2,5
3/1/2016 0:24:19,Distrito Federal,31 a 40 anos,Feminino,Sim,5,3,2,1,1,3,2,1,2,1,1,2,1,3,4,3,3,3,1,1,1,1,2,1,1,1,3,4,1,3,3,3,4,3,1,1
3/1/2016 1:41:30,Ceará,41 a 50 anos,Feminino,Sim,5,5,4,4,1,2,1,1,1,3,2,5,3,4,4,4,4,1,1,1,1,4,4,1,1,1,1,1,1,1,4,4,5,5,3,3
3/1/2016 2:43:36,Distrito Federal,21 a 30 anos,Masculino,Sim,5,5,3,3,2,4,3,2,2,3,3,3,1,3,4,3,3,3,1,1,2,3,1,1,1,2,3,2,1,1,3,2,1,1,3,1
3/1/2016 3:32:55,Rio Grande do Sul,a partir de 51 anos,Feminino,Não,4,2,1,1,1,2,1,2,1,1,1,2,2,1,1,1,5,2,1,1,1,2,2,1,1,1,3,3,1,1,3,5,5,5,1,1
3/1/2016 5:08:14,Ceará,31 a 40 anos,Feminino,Não,3,2,5,5,3,1,1,1,1,3,2,4,2,5,5,5,5,4,5,1,3,4,4,3,3,2,5,5,1,1,5,5,1,3,1,5
3/1/2016 5:28:15,Paraná,21 a 30 anos,Feminino,Sim,5,4,5,5,4,3,3,3,2,4,4,5,5,5,5,5,5,5,4,1,3,4,2,1,3,2,5,5,3,5,5,5,4,5,3,5
3/1/2016 5:29:58,São Paulo,31 a 40 anos,Masculino,Sim,5,5,4,3,1,2,1,1,1,1,1,1,1,3,3,4,4,2,1,1,2,3,3,1,1,1,1,2,2,3,1,2,1,1,1,1
3/1/2016 6:13:58,São Paulo,31 a 40 anos,Masculino,Não,5,5,5,3,4,4,2,2,2,4,5,5,5,5,5,5,5,5,5,1,5,5,4,1,3,5,5,5,4,4,5,5,4,4,5,2
3/1/2016 6:21:44,Ceará,31 a 40 anos,Feminino,Sim,5,5,5,5,5,3,3,3,3,1,3,5,5,5,5,1,1,5,5,2,5,5,2,5,5,5,5,5,1,5,5,5,5,5,5,5
3/1/2016 6:38:51,Distrito Federal,31 a 40 anos,Masculino,Não,5,5,3,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3/1/2016 6:45:30,São Paulo,21 a 30 anos,Masculino,Não,5,5,4,4,4,4,4,3,3,3,3,4,4,3,3,4,4,4,4,2,4,4,3,2,2,2,4,5,2,2,5,5,4,4,3,3
3/1/2016 6:58:03,Ceará,41 a 50 anos,Feminino,Não,5,3,5,3,3,3,3,2,2,1,1,1,1,5,5,3,3,3,3,3,3,3,3,3,1,1,5,5,5,5,3,3,3,3,3,3
3/1/2016 7:10:10,São Paulo,31 a 40 anos,Feminino,Não,5,5,3,3,3,5,2,3,3,5,5,5,3,3,5,3,5,4,4,1,2,5,3,2,4,3,5,5,3,3,3,4,2,2,5,5
3/1/2016 7:19:54,Ceará,31 a 40 anos,Feminino,Não,5,3,3,3,1,1,1,1,1,3,3,5,5,5,5,5,5,5,4,1,3,3,3,5,5,5,5,5,3,3,5,5,3,3,5,1
3/1/2016 7:38:46,Bahia,21 a 30 anos,Masculino,Sim,5,3,4,2,2,3,2,1,1,2,3,5,1,3,4,4,2,4,2,1,2,4,1,1,1,2,4,1,2,4,1,3,1,1,3,2
3/1/2016 7:45:30,Ceará,21 a 30 anos,Feminino,Sim,2,2,2,5,2,3,1,2,2,4,4,5,4,2,2,2,2,3,3,2,2,5,4,3,4,1,5,5,2,2,5,5,3,3,1,1
3/1/2016 8:00:30,Ceará,41 a 50 anos,Feminino,Sim,4,3,2,1,1,4,3,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,3,5,1,2,1,3,3,5,1,1
3/1/2016 8:02:27,Ceará,21 a 30 anos,Feminino,Sim,5,4,1,1,1,4,2,1,2,1,1,2,1,2,2,1,3,3,2,1,1,1,1,1,1,1,2,3,1,2,1,2,2,3,1,1
3/1/2016 8:04:50,Minas Gerais,até 20 anos,Feminino,Não,2,3,4,2,2,4,5,2,2,1,1,1,3,1,2,5,5,3,1,1,2,2,1,1,1,1,3,5,1,3,4,4,1,4,1,3
3/1/2016 8:05:34,Ceará,a partir de 51 anos,Feminino,Não,5,3,4,4,1,5,3,3,3,2,2,3,3,3,2,3,4,3,2,2,2,2,3,3,3,2,2,2,2,2,4,4,3,3,4,3
3/1/2016 8:14:17,Ceará,21 a 30 anos,Feminino,Sim,5,2,4,4,4,1,1,1,1,2,3,4,4,5,5,5,4,3,3,4,3,4,4,1,1,2,4,4,2,2,3,3,2,2,3,3
3/1/2016 8:16:01,Ceará,41 a 50 anos,Feminino,Não,5,2,2,1,1,5,2,1,3,2,2,2,2,1,2,3,3,2,1,1,1,2,1,1,1,1,3,3,1,1,1,3,3,4,1,3
3/1/2016 8:17:21,Distrito Federal,a partir de 51 anos,Feminino,Não,5,5,4,3,4,4,5,4,1,1,2,1,1,4,4,1,2,5,5,1,5,3,1,1,1,1,1,2,1,1,1,1,3,3,3,4
3/1/2016 8:24:44,Ceará,41 a 50 anos,Feminino,Não,4,3,5,1,1,5,5,3,2,2,4,5,5,1,4,4,5,4,4,1,3,3,2,1,2,1,4,5,2,5,1,5,5,5,1,5
3/1/2016 8:25:50,Ceará,21 a 30 anos,Feminino,Não,5,5,1,1,1,4,3,1,2,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,2,3,2,2,1,2,1,1,1,1
3/1/2016 8:27:13,Ceará,até 20 anos,Masculino,Sim,4,4,3,3,2,4,4,2,3,2,3,3,2,5,5,5,4,5,4,1,3,3,3,1,1,1,2,4,2,2,3,3,2,2,2,2
3/1/2016 8:28:03,Ceará,a partir de 51 anos,Feminino,Não,5,5,2,1,1,5,3,3,2,1,1,2,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1
3/1/2016 8:36:55,Ceará,31 a 40 anos,Feminino,Sim,5,4,4,4,4,2,2,2,3,3,4,4,4,4,4,4,5,4,3,3,4,5,3,1,3,1,4,4,4,4,5,5,5,5,3,3
3/1/2016 8:41:41,Ceará,até 20 anos,Masculino,Sim,5,3,5,5,3,2,2,2,1,3,2,3,1,4,4,4,4,4,4,1,3,3,4,1,1,2,4,4,3,4,3,5,3,5,3,3
3/1/2016 8:45:01,Ceará,até 20 anos,Feminino,Sim,5,2,1,1,1,4,5,3,4,1,1,1,1,2,3,3,3,3,1,1,3,3,3,1,2,1,3,3,3,3,3,2,3,5,1,1
3/1/2016 8:45:35,Ceará,21 a 30 anos,Feminino,Sim,5,5,3,4,1,2,2,2,2,3,3,4,3,5,4,5,5,3,2,1,2,4,3,1,3,2,4,4,2,2,4,4,4,4,3,3
3/1/2016 8:48:00,Ceará,até 20 anos,Feminino,Sim,4,3,4,3,3,4,4,3,2,2,2,4,3,3,2,3,3,3,2,1,2,2,1,1,1,1,1,5,3,5,1,5,2,5,1,5
3/1/2016 9:02:56,Ceará,31 a 40 anos,Feminino,Não,5,5,5,5,3,2,2,2,1,1,3,3,4,5,5,5,5,4,3,1,3,4,1,1,3,1,4,4,2,4,4,4,2,3,1,4
3/1/2016 9:15:11,Ceará,até 20 anos,Masculino,Sim,2,1,2,1,1,3,2,1,2,2,2,4,1,1,3,3,3,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,2,4,1,4
3/1/2016 9:22:37,Ceará,31 a 40 anos,Feminino,Não,5,3,3,2,1,3,2,2,2,1,1,1,1,1,2,2,5,2,2,1,1,4,3,1,1,1,5,5,1,1,5,5,4,5,1,1
3/1/2016 9:26:59,Distrito Federal,31 a 40 anos,Masculino,Sim,5,4,5,1,1,2,2,2,2,4,4,3,2,3,5,3,5,4,1,1,2,3,1,2,3,3,4,4,2,1,4,4,3,3,4,4
3/1/2016 9:33:21,Ceará,41 a 50 anos,Feminino,Não,5,5,4,1,1,5,1,1,2,1,1,1,1,1,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3/1/2016 9:36:13,Ceará,21 a 30 anos,Masculino,Sim,5,1,5,3,3,2,2,1,1,2,3,4,2,1,4,3,3,2,3,2,5,3,4,1,2,3,2,5,1,1,5,5,1,1,5,5
3/1/2016 9:42:23,Ceará,até 20 anos,Masculino,Sim,5,2,5,2,2,4,3,2,1,5,5,5,5,4,4,4,4,3,2,1,2,2,2,3,3,4,4,4,1,1,4,4,1,1,4,5
3/1/2016 9:42:57,Ceará,41 a 50 anos,Feminino,Sim,4,3,4,1,1,3,2,2,1,2,1,2,2,2,2,3,4,4,4,1,3,4,4,2,2,3,3,4,4,2,3,3,2,2,3,4
3/1/2016 9:48:11,Distrito Federal,31 a 40 anos,Feminino,Não,3,5,4,3,2,3,1,1,1,1,1,1,1,3,3,3,3,2,2,1,2,2,2,1,1,1,2,2,2,2,2,3,3,3,3,1
3/1/2016 9:52:03,Ceará,21 a 30 anos,Masculino,Sim,5,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,1,1
3/1/2016 9:54:41,Ceará,21 a 30 anos,Masculino,Sim,5,5,4,3,1,2,3,2,1,2,3,4,2,3,2,2,3,2,1,1,1,3,1,1,2,1,3,2,2,4,1,3,2,4,1,3
3/1/2016 9:56:37,Ceará,21 a 30 anos,Masculino,Sim,5,5,3,1,1,3,1,2,1,1,1,1,1,2,3,3,3,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,3,3,1,1
3/1/2016 9:56:40,Bahia,21 a 30 anos,Masculino,Sim,5,3,4,3,1,2,1,2,1,3,2,5,3,3,5,4,3,2,1,1,2,4,3,1,1,2,3,1,2,1,4,5,3,5,3,2
3/1/2016 9:57:58,Ceará,21 a 30 anos,Masculino,Sim,5,5,4,4,3,5,3,3,2,2,4,5,1,4,4,4,4,4,3,1,2,4,1,1,3,2,5,5,3,3,5,5,3,4,2,2
3/1/2016 9:58:04,Mato Grosso do Sul,21 a 30 anos,Masculino,Não,5,5,3,3,4,3,4,2,3,4,5,5,5,4,4,2,4,5,4,1,4,4,2,4,4,5,5,5,3,4,5,5,2,3,4,5
3/1/2016 10:01:09,São Paulo,21 a 30 anos,Masculino,Não,5,5,3,3,1,2,3,2,1,2,3,3,1,2,3,3,2,2,1,1,1,3,1,1,1,1,4,4,3,2,3,3,3,3,1,2
3/1/2016 10:01:14,Ceará,21 a 30 anos,Masculino,Sim,5,5,5,5,1,5,1,3,2,4,2,5,4,4,4,4,4,3,1,1,2,4,2,2,3,3,4,4,4,4,4,4,3,3,5,4
3/1/2016 10:02:20,Ceará,21 a 30 anos,Masculino,Sim,5,5,4,1,1,3,2,1,1,1,3,4,1,3,4,1,4,2,2,1,1,2,1,1,1,1,3,3,1,2,2,2,3,3,3,1
3/1/2016 10:02:25,Minas Gerais,até 20 anos,Masculino,Sim,5,3,5,4,4,2,3,3,2,1,1,1,2,2,4,3,3,2,2,1,1,2,1,1,1,1,1,4,1,4,1,4,1,3,1,4
3/1/2016 10:02:27,Ceará,21 a 30 anos,Masculino,Sim,5,2,3,1,1,2,3,1,1,1,1,1,1,2,3,2,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1
3/1/2016 10:03:37,Ceará,31 a 40 anos,Feminino,Sim,5,3,4,3,3,3,2,1,1,4,1,5,3,4,4,4,4,2,3,1,2,3,2,2,2,2,4,4,4,4,3,3,3,3,3,3
3/1/2016 10:06:26,Ceará,21 a 30 anos,Masculino,Sim,5,3,5,4,4,3,3,2,2,1,3,4,5,4,4,4,3,4,4,1,4,4,4,1,1,2,5,5,3,4,3,4,2,3,4,4
3/1/2016 10:07:14,Ceará,21 a 30 anos,Feminino,Sim,5,3,3,2,1,4,2,1,1,4,4,4,3,4,4,4,4,4,3,1,2,3,1,2,2,2,3,3,1,1,2,2,1,1,2,2
3/1/2016 10:08:21,Ceará,21 a 30 anos,Feminino,Sim,5,5,3,2,2,5,3,3,3,1,1,1,1,2,4,3,3,4,1,1,1,1,1,1,1,1,5,5,2,2,5,5,5,5,1,1
3/1/2016 10:09:03,Ceará,até 20 anos,Feminino,Sim,5,5,4,3,3,2,2,2,2,4,5,5,3,4,5,3,5,3,3,1,3,5,3,1,4,2,4,4,1,1,3,2,2,1,4,1
3/1/2016 10:09:20,Ceará,até 20 anos,Feminino,Sim,5,2,5,5,5,4,3,3,3,3,4,5,5,4,4,4,2,4,4,1,5,5,3,5,5,5,5,5,5,5,4,5,4,5,4,5
3/1/2016 10:12:11,Ceará,até 20 anos,Masculino,Sim,4,4,3,3,3,2,1,3,1,2,3,4,4,2,3,3,3,2,2,1,2,3,2,1,2,3,3,3,2,2,3,3,3,3,3,3
3/1/2016 10:12:22,Ceará,21 a 30 anos,Masculino,Sim,5,5,1,1,1,2,2,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,3,1,1,2,2,1,1,1,2
3/1/2016 10:14:51,Ceará,21 a 30 anos,Masculino,Sim,5,3,5,3,4,4,2,2,2,2,4,4,3,5,5,2,3,4,4,1,4,2,2,1,3,3,3,2,1,2,3,4,1,2,2,3
3/1/2016 10:14:56,Ceará,até 20 anos,Masculino,Sim,3,3,4,4,2,5,3,2,3,1,1,1,1,2,3,3,4,3,2,1,1,2,2,3,1,1,1,4,1,1,1,1,1,3,1,1
3/1/2016 10:15:02,Distrito Federal,21 a 30 anos,Feminino,Sim,5,3,2,1,2,4,3,3,2,3,4,4,2,3,4,2,2,5,1,1,2,4,1,1,1,1,4,5,1,1,1,2,1,1,2,5
3/1/2016 10:15:42,Pernambuco,21 a 30 anos,Feminino,Sim,5,5,3,1,1,3,2,3,2,1,1,3,3,3,3,1,3,2,1,2,2,3,1,1,2,1,3,3,2,2,3,3,3,3,1,1
3/1/2016 10:15:56,Ceará,31 a 40 anos,Feminino,Não,5,5,5,5,4,5,4,3,2,1,2,5,3,5,5,1,3,5,5,2,5,5,4,2,4,2,5,5,2,5,5,5,5,5,5,5
3/1/2016 10:18:22,Ceará,21 a 30 anos,Feminino,Sim,5,4,5,5,5,4,3,2,2,1,3,5,5,4,5,4,4,4,4,2,4,4,3,3,3,4,5,5,3,3,4,4,5,5,4,4
3/1/2016 10:21:21,Distrito Federal,21 a 30 anos,Feminino,Sim,5,4,1,1,1,4,3,2,2,1,4,4,1,4,4,1,1,4,3,1,2,3,2,2,2,2,4,3,2,2,2,1,2,2,4,2
3/1/2016 10:22:47,Distrito Federal,21 a 30 anos,Feminino,Sim,5,4,3,2,3,3,2,3,2,4,3,4,2,1,3,3,3,5,3,1,1,4,1,1,2,1,3,4,2,3,2,2,3,3,3,3
