Carimbo de data/hora,Marque o seu Estado,Qual era a sua idade no ano de 2013?,Qual é o seu gênero?,Você era estudante em 2013?,"No ano de 2013, com que frequência você acessou internet em casa?","No ano de 2013, com que frequência você acessou internet fora de casa?",Você se considera interessado em assuntos políticos?,Você gosta de falar sobre política em público?,Você gosta de falar sobre política nas redes sociais?,Eu acredito que as redes sociais são a melhor maneira de me manter informado sobre acontecimentos do mundo.,Eu acredito que por meio das redes sociais eu consigo expressar melhor meus pensamentos e opiniões do que pessoalmente. ,Eu acredito que as redes sociais são um canal de informação confiável.,Eu acredito que os usuários de redes sociais tendem a falar sobre política com propriedade e conhecimento avançado do assunto. ,"Em junho de 2013, me senti motivado a participar dos protestos que aconteceram em todo o país após a divulgação dos mesmos pela mídia tradicional. ","Em junho de 2013, me senti motivado a participar dos protestos que aconteceram em todo o país após o compartilhamento de textos, fotos e vídeos nas redes sociais, pelos meus amigos.","Em junho de 2013, me senti motivado a participar dos protestos que aconteceram em todo o país, porque acredito que devo defender meus direitos civis e políticos.","Depois dos protestos de 2013, continuei a participar de ações e protestos que apoiavam causas em que acredito.","Em 2013, com que frequência você acessou websites políticos, leu blogs sobre política ou postagens nas redes sociais sobre política?","Em 2013, com que frequência você viu imagens ou assistiu a videos relacionados a assuntos políticos?","Em 2013, com que frequência você leu artigos da mídia impressa sobre política?","Em 2013, com que frequência você acompanhou as notícias políticas no rádio ou na televisão?","Em 2013, com que frequência você demonstrou a sua opinião sobre assuntos políticos nas redes sociais pressionando o botão de curtir?","Em 2013, com que frequência você postou/compartilhou conteúdo político nas redes sociais?","Em 2013, com que frequência você distribuiu material político impresso (ex: panfletos, adesivos, etc.) para seus amigos, familiares ou colegas de trabalho/faculdade/escola?","Em 2013, com que frequência você comentou em postagens de conteúdo político nas redes sociais?","Em 2013, com que frequência você discutiu assuntos políticos pessoalmente ou pelo telefone com amigos, familiares ou colegas de trabalho/faculdade/escola?","Em 2013, com que frequência você trocou ideias com desconhecidos sobre política ou participou de grupos de discussão sobre o mesmo fora da Internet?","Em 2013, com que frequência você vestiu uma camisa de protesto, colocou um adesivo de protesto no carro ou um sinal de protesto (bandeira, faixa, etc.) na sua janela, ou em frente a sua casa?","Em 2013, com que frequência você tentou convencer pessoas a protestar, ou explicou razões pelas quais elas deveriam protestar?","Em 2013, com que frequência você participou de protestos ou marchas políticas?","Em 2013, qual era a probabilidade de você assinar uma petição online sobre assuntos políticos?","HOJE EM DIA, qual é a probabilidade de você assinar uma petição online sobre assuntos políticos?","Em 2013, qual era a probabilidade de você contactar um representante da sua comunidade no governo por e-mail ou redes sociais?","HOJE EM DIA, qual é a probabilidade de você contactar um representante da sua comunidade no governo por e-mail ou redes sociais?","Em 2013, qual era a probabilidade de você assinar uma petição pessoalmente?","HOJE EM DIA, qual é a probabilidade de você assinar uma petição pessoalmente?","Em 2013, qual era a probabilidade de você fazer uma reclamação diretamente à um órgão do governo, seja pessoalmente ou por telefone?","HOJE EM DIA, qual é a probabilidade de você fazer uma reclamação diretamente à um órgão do governo, seja pessoalmente ou por telefone?","Em 2013, qual era a probabilidade de você participar de protestos públicos?","HOJE EM DIA, qual é a probabilidade de você participar de protestos públicos?"
2/28/2016 14:11:17,Maranhão,21 a 30 anos,Masculino,Não,5,4,4,3,1,3,1,2,1,1,1,1,1,5,4,4,5,5,3,2,3,5,2,1,1,1,4,4,2,2,3,4,5,1,1,1
2/28/2016 14:13:52,Paraná,21 a 30 anos,Masculino,Não,5,2,5,5,5,2,3,2,1,1,5,5,5,4,4,2,2,4,4,1,3,3,3,2,3,3,4,4,3,3,4,4,4,4,4,4
2/28/2016 14:19:05,Rio Grande do Norte,até 20 anos,Feminino,Sim,5,5,4,1,1,3,1,1,1,3,5,5,1,1,1,1,1,4,1,1,1,3,1,1,2,3,1,1,5,5,3,2,2,2,5,2
2/28/2016 14:29:48,Maranhão,21 a 30 anos,Feminino,Sim,3,2,3,3,1,4,2,2,2,1,1,2,1,1,3,3,3,1,1,1,1,4,1,1,1,1,3,3,1,1,2,2,1,1,2,2
2/28/2016 14:33:22,Ceará,21 a 30 anos,Feminino,Não,5,2,5,5,5,5,1,3,2,1,5,1,5,5,5,5,1,5,5,3,5,5,4,1,5,5,5,5,5,5,5,5,5,5,5,5
2/28/2016 14:35:33,Rio de Janeiro,21 a 30 anos,Feminino,Não,5,2,4,2,2,4,2,2,1,2,2,1,1,3,3,2,2,4,2,1,2,3,1,1,1,1,2,2,2,2,2,2,2,2,3,1
2/28/2016 14:40:05,Rio de Janeiro,a partir de 51 anos,Feminino,Não,5,1,4,3,3,1,2,1,2,1,2,2,1,3,4,5,4,1,3,1,2,4,1,1,1,1,3,3,1,1,3,3,2,2,1,1
2/28/2016 14:48:50,Maranhão,21 a 30 anos,Feminino,Não,5,5,3,3,1,4,2,2,1,2,2,4,5,4,3,3,3,3,1,1,2,1,1,1,1,3,3,5,1,1,1,1,5,5,5,5
2/28/2016 14:58:31,Rio de Janeiro,21 a 30 anos,Masculino,Sim,5,5,2,1,2,3,2,2,1,1,3,3,2,4,3,1,2,3,1,1,1,1,2,1,1,2,5,3,2,1,3,2,2,2,3,1
2/28/2016 14:59:50,São Paulo,até 20 anos,Masculino,Sim,5,5,3,2,1,1,1,1,1,3,4,3,2,2,3,2,2,1,1,1,1,3,1,1,2,2,2,1,1,1,1,1,1,1,2,1
2/28/2016 15:05:13,Ceará,21 a 30 anos,Masculino,Não,5,3,5,1,1,2,1,2,2,1,1,3,1,5,4,4,4,1,1,1,1,3,1,1,1,1,4,4,1,1,3,3,1,1,1,1
2/28/2016 15:08:22,Ceará,21 a 30 anos,Feminino,Sim,5,5,3,3,3,3,3,1,3,3,3,3,1,2,2,2,3,2,2,1,2,3,1,1,1,1,5,5,1,1,1,3,1,1,1,3
2/28/2016 15:23:19,Ceará,31 a 40 anos,Masculino,Não,3,4,5,4,1,2,2,1,2,3,1,2,1,3,4,4,5,2,1,2,1,3,3,1,1,1,3,5,3,5,3,5,3,5,3,4
2/28/2016 15:27:07,Rio de Janeiro,21 a 30 anos,Feminino,Não,5,5,5,3,4,3,3,2,5,1,5,4,2,5,5,2,4,5,5,1,4,4,3,1,3,1,5,2,4,1,4,4,4,4,3,2
2/28/2016 15:35:49,Ceará,21 a 30 anos,Feminino,Sim,5,3,4,2,2,2,3,2,5,5,5,5,2,4,4,3,4,5,2,1,4,5,3,1,4,2,5,5,2,2,5,5,2,2,5,3
2/28/2016 15:40:48,Ceará,até 20 anos,Feminino,Sim,5,3,1,1,1,3,3,3,1,3,3,4,2,1,3,1,3,1,1,1,1,2,1,2,1,2,1,4,1,1,1,2,1,1,3,3
2/28/2016 15:48:24,Rio de Janeiro,até 20 anos,Masculino,Sim,5,3,4,4,2,4,2,1,1,4,2,4,4,4,4,4,4,3,4,3,3,4,3,4,4,5,4,3,3,2,3,2,2,2,4,2
2/28/2016 15:48:49,Rio Grande do Norte,até 20 anos,Masculino,Não,5,3,5,5,1,2,2,1,1,2,1,3,2,3,3,4,4,3,2,1,1,3,2,1,3,2,3,4,1,3,3,3,1,1,4,1
2/28/2016 15:56:40,Ceará,21 a 30 anos,Masculino,Sim,5,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2/28/2016 16:09:35,Ceará,até 20 anos,Feminino,Sim,5,3,2,1,1,3,3,2,1,2,3,4,4,3,4,2,2,5,2,1,3,4,4,3,3,3,5,5,2,2,5,5,4,4,5,3
2/28/2016 16:18:57,Santa Catarina,a partir de 51 anos,Feminino,Não,5,5,5,5,5,1,1,1,1,2,2,1,5,5,5,5,5,5,1,2,2,5,5,1,2,2,5,5,5,5,5,5,5,5,5,5
2/28/2016 16:23:03,São Paulo,até 20 anos,Masculino,Sim,5,4,4,2,2,4,3,2,1,2,2,2,1,5,4,3,2,3,3,1,2,3,2,1,1,2,3,1,2,2,2,1,1,1,2,1
2/28/2016 16:30:19,Ceará,até 20 anos,Masculino,Sim,5,2,5,2,4,4,5,3,1,1,1,1,1,4,4,2,3,3,4,1,1,2,3,1,1,1,3,5,1,3,2,5,1,1,1,2
2/28/2016 16:59:10,Rio de Janeiro,21 a 30 anos,Feminino,Sim,5,5,3,1,1,2,1,2,1,2,2,3,2,5,3,3,2,2,1,1,1,3,1,1,1,1,4,4,1,1,1,1,2,2,2,1
2/28/2016 17:09:39,Rio de Janeiro,até 20 anos,Feminino,Sim,4,3,4,4,3,2,3,2,2,2,4,3,3,3,3,3,2,5,3,1,3,4,1,1,2,3,3,2,4,2,2,2,2,3,5,3
2/28/2016 17:11:08,Rio de Janeiro,31 a 40 anos,Masculino,Sim,5,5,5,4,4,4,3,3,2,1,5,5,4,5,5,4,4,5,5,1,4,5,3,4,5,5,5,5,4,3,5,5,4,4,5,4
2/28/2016 17:16:25,Santa Catarina,21 a 30 anos,Feminino,Sim,5,5,4,3,3,5,3,1,1,3,3,4,4,4,4,4,2,3,3,1,3,3,3,1,2,1,4,2,2,2,2,2,2,2,2,2
2/28/2016 17:16:32,Santa Catarina,21 a 30 anos,Feminino,Sim,5,5,4,3,3,5,3,1,1,3,3,4,4,4,4,4,2,3,3,1,3,3,3,1,2,1,4,2,2,2,2,2,2,2,2,2
2/28/2016 17:21:10,Minas Gerais,21 a 30 anos,Masculino,Não,5,5,1,1,1,3,4,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2/28/2016 17:36:42,Ceará,21 a 30 anos,Masculino,Não,5,1,5,5,5,2,4,2,2,1,4,5,5,5,5,5,5,5,5,2,5,5,4,1,1,4,5,5,5,5,2,3,5,5,5,4
2/28/2016 17:55:14,São Paulo,a partir de 51 anos,Feminino,Não,5,4,5,1,1,4,1,1,1,1,5,5,1,4,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1
2/28/2016 18:49:32,Rio de Janeiro,até 20 anos,Feminino,Sim,5,5,4,3,3,4,3,2,2,2,4,4,2,4,4,4,4,5,5,1,3,4,4,2,2,2,5,5,4,4,2,2,1,1,4,1
2/28/2016 19:30:28,São Paulo,21 a 30 anos,Feminino,Sim,5,3,4,1,2,3,3,2,2,4,3,3,3,3,4,2,3,3,1,1,1,3,2,1,1,1,4,3,1,1,3,3,1,2,1,2
2/28/2016 19:55:34,Ceará,21 a 30 anos,Feminino,Sim,5,4,4,3,3,5,3,3,5,1,4,5,2,2,3,3,3,4,3,1,2,4,2,2,3,2,2,2,1,1,2,2,1,1,4,3
2/28/2016 21:13:40,São Paulo,21 a 30 anos,Feminino,Sim,2,3,3,3,3,5,2,3,3,2,2,3,2,3,4,3,2,3,2,1,2,2,1,1,1,1,5,5,2,4,3,4,3,3,1,2
2/28/2016 21:22:26,Rio de Janeiro,21 a 30 anos,Feminino,Sim,5,5,5,4,1,3,1,1,1,2,4,4,2,5,3,5,2,5,3,3,3,5,2,1,2,3,2,2,1,1,1,2,1,1,4,1
2/28/2016 21:31:26,Ceará,21 a 30 anos,Feminino,Não,5,5,3,1,1,2,1,1,1,3,2,3,1,2,3,3,4,3,1,1,1,3,1,1,1,1,4,4,2,2,3,3,2,2,2,2
2/28/2016 21:33:53,Ceará,31 a 40 anos,Masculino,Não,5,5,3,2,3,2,3,3,2,3,4,5,4,3,4,3,4,4,4,1,2,2,3,3,4,3,3,4,2,2,5,5,5,5,4,5
2/28/2016 21:47:57,Rio de Janeiro,21 a 30 anos,Feminino,Não,5,5,3,2,2,4,1,2,2,1,5,4,1,2,4,2,1,5,4,1,4,3,3,1,2,1,4,4,2,2,4,4,1,1,3,4
2/28/2016 22:01:45,São Paulo,21 a 30 anos,Masculino,Não,5,4,2,1,1,3,3,3,2,1,5,5,3,3,3,1,3,4,3,1,2,3,3,2,3,3,4,3,1,1,3,3,3,3,4,4
2/28/2016 22:18:20,Rio Grande do Sul,21 a 30 anos,Masculino,Sim,3,2,1,1,1,5,1,2,1,2,2,3,1,1,4,3,5,1,1,1,1,3,2,1,1,1,2,5,2,2,1,1,5,5,1,1
2/28/2016 22:21:55,São Paulo,a partir de 51 anos,Masculino,Não,5,5,3,3,3,3,3,3,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,1,1,1,1,3,1,4,1,4,2,4,2,4
2/28/2016 23:03:12,Pará,até 20 anos,Feminino,Sim,5,5,4,3,2,3,4,3,1,1,4,4,2,3,4,3,4,5,2,1,2,3,2,1,2,2,4,4,2,2,1,4,2,2,2,2
2/28/2016 23:06:04,Ceará,41 a 50 anos,Feminino,Não,5,3,4,2,1,3,2,2,2,3,4,2,3,4,4,4,5,3,2,1,2,4,3,2,3,1,3,4,2,3,3,3,4,4,2,3
2/28/2016 23:09:53,São Paulo,21 a 30 anos,Masculino,Sim,5,4,3,3,1,2,1,2,2,1,1,4,4,4,4,5,1,2,1,1,1,5,4,1,3,2,3,4,3,4,4,4,5,5,3,3
2/28/2016 23:14:54,São Paulo,21 a 30 anos,Masculino,Sim,5,4,2,2,1,2,1,1,2,1,5,5,2,5,5,2,2,2,1,1,1,5,2,1,3,2,4,2,1,1,4,4,3,3,5,4
2/28/2016 23:17:22,Minas Gerais,21 a 30 anos,Feminino,Sim,5,3,1,1,1,5,3,3,3,5,5,5,1,5,5,3,5,5,5,1,5,5,1,5,5,5,5,1,3,1,5,3,5,1,5,1
2/28/2016 23:22:14,Minas Gerais,21 a 30 anos,Masculino,Não,5,4,5,5,5,4,4,3,2,4,4,4,3,5,5,5,3,4,5,1,4,4,3,1,1,1,4,3,3,2,4,3,3,4,3,2
2/28/2016 23:22:53,Santa Catarina,até 20 anos,Feminino,Sim,5,3,4,2,1,4,3,3,2,4,3,5,2,3,4,5,4,3,1,1,1,5,1,1,3,1,5,5,1,1,3,4,1,1,1,3
2/28/2016 23:24:48,Minas Gerais,21 a 30 anos,Masculino,Sim,5,5,5,3,1,1,1,1,1,1,1,1,1,4,4,4,2,1,1,1,1,4,1,1,1,1,2,3,1,3,2,2,1,1,1,1
2/28/2016 23:29:05,Mato Grosso do Sul,até 20 anos,Feminino,Não,5,1,4,1,1,1,4,1,1,5,5,5,5,3,4,5,4,1,1,1,2,2,1,4,4,4,5,4,1,1,1,1,1,1,3,4
2/28/2016 23:33:50,Paraná,até 20 anos,Feminino,Sim,5,2,5,4,1,4,1,2,1,3,3,4,4,2,4,2,3,2,1,1,2,4,4,1,1,2,3,3,3,2,5,5,5,5,2,4
2/28/2016 23:35:22,Rio de Janeiro,31 a 40 anos,Feminino,Não,5,5,3,3,3,3,2,1,1,1,1,3,1,3,2,2,3,2,2,1,2,3,1,1,1,1,2,2,1,1,2,2,3,3,1,1
2/28/2016 23:44:03,Minas Gerais,até 20 anos,Feminino,Sim,5,4,4,4,2,5,2,4,3,1,1,1,1,3,3,1,1,3,2,1,1,3,3,1,2,1,1,3,1,1,2,3,3,3,1,4
2/29/2016 0:16:40,Paraná,até 20 anos,Feminino,Sim,4,3,4,3,2,2,2,1,1,2,2,4,3,3,4,1,2,1,1,1,1,5,2,4,3,3,1,1,2,2,3,3,2,2,3,4
2/29/2016 0:21:52,São Paulo,21 a 30 anos,Feminino,Não,5,5,3,3,1,3,2,2,1,3,4,4,3,3,4,4,3,2,1,1,2,3,1,1,3,1,4,4,1,1,3,3,1,1,2,3
2/29/2016 3:31:13,Ceará,21 a 30 anos,Masculino,Sim,5,2,2,1,1,2,1,1,1,2,4,4,4,1,3,1,2,4,2,1,2,3,1,2,2,3,3,3,2,3,1,2,2,2,4,3
2/29/2016 4:09:20,Bahia,21 a 30 anos,Masculino,Sim,5,5,4,4,4,2,2,2,2,1,2,3,1,3,3,4,3,4,3,1,2,3,1,1,1,2,4,4,2,2,4,4,2,2,3,3
2/29/2016 6:50:31,Ceará,31 a 40 anos,Masculino,Sim,5,5,2,2,1,2,4,1,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2/29/2016 7:04:30,Rio de Janeiro,a partir de 51 anos,Feminino,Não,4,3,3,1,1,5,3,3,2,1,1,1,1,4,4,1,1,2,1,1,1,1,3,1,1,1,3,5,3,4,2,2,2,2,1,1
2/29/2016 7:23:20,São Paulo,a partir de 51 anos,Feminino,Não,5,2,4,2,3,3,4,2,2,5,5,5,5,4,4,3,3,5,4,1,4,3,1,4,5,5,5,5,4,4,3,3,2,2,5,5
2/29/2016 8:11:16,Pernambuco,até 20 anos,Masculino,Sim,5,3,3,3,3,2,2,2,2,1,1,1,1,4,4,4,4,3,1,1,4,2,1,1,1,1,5,5,1,1,5,5,4,4,1,1
2/29/2016 8:54:09,Piauí,21 a 30 anos,Masculino,Não,5,5,5,5,3,3,3,1,1,1,1,1,3,5,5,5,5,5,5,1,3,3,3,1,1,1,5,1,1,1,5,3,5,5,1,1
2/29/2016 9:03:33,São Paulo,21 a 30 anos,Feminino,Não,4,5,2,2,1,3,2,2,1,1,1,1,1,2,2,3,2,2,2,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1
2/29/2016 9:07:41,Piauí,31 a 40 anos,Feminino,Não,5,5,3,2,3,2,1,2,1,2,1,2,3,5,4,3,3,3,1,1,2,2,2,1,1,1,4,5,3,5,4,4,5,5,2,2
2/29/2016 9:10:17,Piauí,21 a 30 anos,Masculino,Não,4,4,4,3,2,3,3,2,2,2,2,2,2,1,2,3,4,3,2,1,3,4,1,1,2,1,2,3,2,4,2,3,2,3,1,1
2/29/2016 9:10:54,Amapá,21 a 30 anos,Masculino,Sim,3,2,4,5,4,2,3,1,2,5,4,5,4,3,3,3,3,4,2,1,3,2,1,1,3,2,1,5,2,4,1,4,2,4,3,5
2/29/2016 9:14:36,Piauí,21 a 30 anos,Masculino,Sim,5,5,5,4,3,2,2,2,1,5,4,5,3,4,4,4,5,5,5,2,5,5,4,1,5,4,5,4,2,3,5,5,3,5,5,4
2/29/2016 9:18:22,Rio de Janeiro,21 a 30 anos,Feminino,Não,5,5,5,3,5,4,2,2,3,3,4,5,3,4,4,1,4,5,5,1,5,4,1,4,4,3,5,5,5,5,5,5,5,5,4,4
2/29/2016 9:22:57,Piauí,31 a 40 anos,Feminino,Não,5,5,1,1,1,4,1,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2/29/2016 9:23:08,Pernambuco,41 a 50 anos,Masculino,Não,5,5,3,2,2,5,4,3,2,3,3,3,3,4,5,4,3,4,2,1,2,2,2,1,1,2,2,2,1,1,4,2,2,2,2,2
2/29/2016 9:31:58,Piauí,31 a 40 anos,Masculino,Não,5,5,4,4,4,2,3,2,1,2,3,4,3,4,3,2,5,2,4,1,3,5,2,1,1,2,4,4,4,5,4,5,5,5,3,4
2/29/2016 9:46:06,Piauí,21 a 30 anos,Feminino,Não,5,5,3,2,3,2,2,2,1,1,2,3,2,4,4,4,2,5,4,1,4,4,4,1,1,1,4,3,2,2,1,1,2,2,2,3
2/29/2016 9:49:29,Piauí,31 a 40 anos,Masculino,Não,5,5,5,5,3,3,4,2,1,1,1,2,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4,3,1,1
2/29/2016 9:53:16,Piauí,21 a 30 anos,Feminino,Não,5,5,3,2,1,3,2,2,1,1,2,4,2,5,5,3,2,1,1,1,1,3,1,1,1,1,4,4,4,5,2,2,4,4,1,1
2/29/2016 10:00:19,Minas Gerais,21 a 30 anos,Feminino,Sim,4,4,3,4,4,3,2,2,2,1,1,2,1,4,4,4,4,4,4,2,4,4,3,1,2,2,5,5,5,5,5,5,4,4,3,3
2/29/2016 10:02:14,Piauí,21 a 30 anos,Masculino,Não,5,5,4,3,1,3,3,1,1,3,3,5,3,3,4,1,3,3,3,1,3,4,1,1,2,2,5,5,3,3,5,5,3,3,3,3
2/29/2016 10:05:43,Ceará,a partir de 51 anos,Masculino,Não,5,3,3,2,1,3,4,3,2,1,1,1,1,2,2,1,3,1,1,1,1,1,1,1,1,1,3,3,1,1,3,3,3,3,1,1
2/29/2016 10:08:35,Minas Gerais,21 a 30 anos,Masculino,Não,5,5,3,2,1,5,2,1,1,1,1,4,4,2,2,3,3,1,2,1,2,3,3,1,1,2,2,3,1,3,4,4,4,4,3,3
2/29/2016 10:27:43,Ceará,31 a 40 anos,Feminino,Sim,5,3,5,5,4,4,4,1,2,1,1,2,1,5,5,4,5,5,4,1,4,5,4,2,1,1,3,3,3,3,3,3,4,4,3,2
2/29/2016 10:32:53,Ceará,21 a 30 anos,Feminino,Não,5,5,3,3,1,1,1,1,1,2,5,5,3,4,4,4,3,4,3,1,2,3,3,1,2,2,5,5,2,2,4,2,4,4,2,2
2/29/2016 11:08:49,Ceará,21 a 30 anos,Masculino,Sim,5,5,5,2,1,4,1,1,1,2,2,2,3,4,4,4,5,3,1,1,2,3,1,1,1,1,5,5,2,2,5,5,2,2,2,3
2/29/2016 11:14:54,Ceará,21 a 30 anos,Feminino,Não,5,3,5,4,4,4,2,3,2,1,5,5,4,3,3,2,4,5,4,1,4,5,3,3,4,4,5,5,1,4,1,4,1,3,3,5
2/29/2016 11:37:16,Ceará,31 a 40 anos,Feminino,Não,5,2,4,3,2,3,2,2,2,1,1,2,1,4,4,2,3,3,2,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
